Analyzing gantt_view_model.dart...                              

  error • Undefined name '_ganttTasks' • lib/view_models/gantt_view_model.dart:2568:28 • undefined_identifier
  error • Undefined name '_gridData' • lib/view_models/gantt_view_model.dart:2586:24 • undefined_identifier
  error • Undefined name '_ganttTasks' • lib/view_models/gantt_view_model.dart:2589:20 • undefined_identifier
  error • Undefined name '_ganttTasks' • lib/view_models/gantt_view_model.dart:2601:24 • undefined_identifier
  error • Undefined name '_apiResponse' • lib/view_models/gantt_view_model.dart:2642:9 • undefined_identifier
  error • Undefined name '_allGanttTasks' • lib/view_models/gantt_view_model.dart:2644:49 • undefined_identifier
  error • Undefined name '_apiResponse' • lib/view_models/gantt_view_model.dart:2659:13 • undefined_identifier
  error • Undefined name '_apiResponse' • lib/view_models/gantt_view_model.dart:2681:9 • undefined_identifier
  error • Undefined name '_gridData' • lib/view_models/gantt_view_model.dart:2685:24 • undefined_identifier
  error • Undefined name '_gridData' • lib/view_models/gantt_view_model.dart:2692:30 • undefined_identifier
  error • Undefined name '_allGanttTasks' • lib/view_models/gantt_view_model.dart:2702:27 • undefined_identifier
  error • Undefined name '_useLocalDatabase' • lib/view_models/gantt_view_model.dart:2705:9 • undefined_identifier
  error • Undefined name '_localRepository' • lib/view_models/gantt_view_model.dart:2707:9 • undefined_identifier
  error • Undefined name '_localRepository' • lib/view_models/gantt_view_model.dart:2709:33 • undefined_identifier
  error • Undefined name '_syncClient' • lib/view_models/gantt_view_model.dart:2713:9 • undefined_identifier
  error • Undefined name '_syncClient' • lib/view_models/gantt_view_model.dart:2715:9 • undefined_identifier
  error • Undefined name '_syncClient' • lib/view_models/gantt_view_model.dart:2723:9 • undefined_identifier
  error • Undefined name '_useLocalDatabase' • lib/view_models/gantt_view_model.dart:2733:10 • undefined_identifier
  error • Undefined name '_allGanttTasks' • lib/view_models/gantt_view_model.dart:2740:25 • undefined_identifier
  error • Undefined name '_apiResponse' • lib/view_models/gantt_view_model.dart:2745:32 • undefined_identifier
  error • Undefined name '_gridData' • lib/view_models/gantt_view_model.dart:2749:9 • undefined_identifier
  error • Undefined name '_apiResponse' • lib/view_models/gantt_view_model.dart:2750:9 • undefined_identifier
  error • Undefined name '_cachedFlatGridData' • lib/view_models/gantt_view_model.dart:2752:7 • undefined_identifier
  error • Undefined name '_scheduleService' • lib/view_models/gantt_view_model.dart:2755:11 • undefined_identifier
  error • Undefined name '_apiResponse' • lib/view_models/gantt_view_model.dart:2755:67 • undefined_identifier
  error • Undefined name '_showConflicts' • lib/view_models/gantt_view_model.dart:2755:97 • undefined_identifier
  error • The function '_updateTasksAndStacking' isn't defined • lib/view_models/gantt_view_model.dart:2756:7 • undefined_function
  error • Undefined name '_gridData' • lib/view_models/gantt_view_model.dart:2762:26 • undefined_identifier
  error • Undefined name '_apiResponse' • lib/view_models/gantt_view_model.dart:2778:9 • undefined_identifier
  error • The function 'fetchScheduleData' isn't defined • lib/view_models/gantt_view_model.dart:2779:13 • undefined_function
  error • Undefined name '_gridData' • lib/view_models/gantt_view_model.dart:2784:47 • undefined_identifier
  error • Undefined name '_scheduleService' • lib/view_models/gantt_view_model.dart:2788:33 • undefined_identifier
  error • Undefined name '_apiResponse' • lib/view_models/gantt_view_model.dart:2789:7 • undefined_identifier
  error • Undefined name '_startDate' • lib/view_models/gantt_view_model.dart:2790:18 • undefined_identifier
  error • Undefined name '_range' • lib/view_models/gantt_view_model.dart:2791:14 • undefined_identifier
  error • Undefined name '_showConflicts' • lib/view_models/gantt_view_model.dart:2792:22 • undefined_identifier
  error • Undefined name '_showEmptyParentRows' • lib/view_models/gantt_view_model.dart:2793:28 • undefined_identifier
   info • Unnecessary use of a null check ('!') • lib/view_models/gantt_view_model.dart:2799:57 • unnecessary_null_checks
  error • Undefined name '_ganttTasks' • lib/view_models/gantt_view_model.dart:2804:5 • undefined_identifier
  error • Undefined name '_conflictIndicators' • lib/view_models/gantt_view_model.dart:2805:5 • undefined_identifier
  error • Undefined name '_gridData' • lib/view_models/gantt_view_model.dart:2806:5 • undefined_identifier
  error • Undefined name '_cachedFlatGridData' • lib/view_models/gantt_view_model.dart:2807:5 • undefined_identifier
  error • Undefined name '_rowMaxStackDepth' • lib/view_models/gantt_view_model.dart:2808:5 • undefined_identifier
  error • Undefined name '_eventMap' • lib/view_models/gantt_view_model.dart:2809:5 • undefined_identifier
  error • Undefined name '_ganttTasks' • lib/view_models/gantt_view_model.dart:2812:9 • undefined_identifier
  error • Undefined name '_ganttTasks' • lib/view_models/gantt_view_model.dart:2813:27 • undefined_identifier
  error • Undefined name '_ganttTasks' • lib/view_models/gantt_view_model.dart:2814:25 • undefined_identifier
  error • Undefined name '_ganttTasks' • lib/view_models/gantt_view_model.dart:2815:26 • undefined_identifier
  error • Undefined name '_totalStartDate' • lib/view_models/gantt_view_model.dart:2819:7 • undefined_identifier
  error • Undefined name '_totalEndDate' • lib/view_models/gantt_view_model.dart:2820:7 • undefined_identifier
  error • Undefined name '_totalStartDate' • lib/view_models/gantt_view_model.dart:2822:7 • undefined_identifier
  error • Undefined name '_startDate' • lib/view_models/gantt_view_model.dart:2822:25 • undefined_identifier
